No,Content,Title,Price,Picture
355915284524115_5067632606685669,【麻將 主題特輯】🀄 好運麻將戒指款式： 東 南 西 北 中 發 白$45 / 1$120 / 3$245 / 全套🀄 雀神手環顏色：金色 / 銀色款式：清一色 / 十三么價錢：$138.8888888...🀄雀神戒指顏色：金色 / 銀色款式：清一色 / 十三么碼數：美國碼7號-10號價錢：$128.8888888...-Whatsapp: 55109214- - #hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業禮物 #畢業 #s2s麻將 #s2s主題,【麻將 主題特輯】🀄 好運麻將戒指款式： 東 南 西 北 中 發 白$45 / 1,45,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/278335225_5067632570019006_7441461795869178954_n.jpg?stp=dst-jpg_p720x720&_nc_cat=104&ccb=1-7&_nc_sid=a26aad&_nc_ohc=wHRmq6nkhWMAX905PfL&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfDyZY_xV8nu1nK8bHkbiqH6Q3KKGAauV1l7opHIdlW3SQ&oe=64AA6241
355915284524115_2349286195187004,記得Save (原曲: 張學友 – 李香蘭)改編: a仔、四眼雞丁主唱: 四眼雞丁記得save 要加title記得save 會Hang機 唔洗等你話過你 隔幾秒就要記得Save凌晨一點幾 重新開機 文字全沒了 簡稱係Save啊...... 望修改日期 認真谷鬼氣裡面全沒有記錄 簡稱係冇左Save啊.....但deadline就黎 份野點樣比沒有Save等死-設計師記得Save Pin款式：Ps / Ai / Pr / Ae / Dw / Id$50 / 1個$250 / 一套6個Whatsapp:55109214#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業禮物 #畢業,設計師記得Save Pin款式：Ps / Ai / Pr / Ae / Dw / Id,50,https://scontent.fhkg1-1.fna.fbcdn.net/v/t1.6435-9/65383832_2349286198520337_1007613522508513280_n.jpg?stp=dst-jpg_p720x720&_nc_cat=106&ccb=1-7&_nc_sid=9267fe&_nc_ohc=j0GSv7XH8vUAX89wRZ6&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfC_RIIYw4Jk3wjACMMaYQTtkciIBKpWASHY38Udjkg0ag&oe=64CC963E
355915284524115_4133043093477963,不知道大家都準備好開喝一波了嗎？就在近期，韓國網路商店韓國Gmarket推出了「超迷你啤酒杯」，讓酒量不好的朋友們，多了一個能夠融入大家的機會（笑）近期，在韓國的社群網站，出現了以「迷你啤酒杯（미니맥주잔）」爆紅的熱搜關鍵字！-對於酒量不好，或是只想要小酌的朋友們來說，迷你的啤酒杯也可以大大的減少喝醉的機會！不管是聚餐、慶生，都是很實用的用具啊～-迷你的啤酒杯30ml$50/1$90/2Whatsapp:55109214-#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #人面獸心拖鞋 #s2s杯,對於酒量不好，或是只想要小酌的朋友們來說，迷你的啤酒杯也可以大大的減少喝醉的機會！不管是聚餐、慶生，都是很實用的用具啊～-迷你的啤酒杯30ml,50,https://scontent.fhkg1-1.fna.fbcdn.net/v/t1.6435-9/201874099_4133043053477967_7173258008656469422_n.jpg?stp=dst-jpg_p720x720&_nc_cat=109&ccb=1-7&_nc_sid=a26aad&_nc_ohc=W9La6t2iLHIAX-ShEPR&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfBSZdv81psJgSYYN2D_EkAUr_nrByD1sMDvHNW5o65-9w&oe=64CCA39E
355915284524115_3008583795923904,【「哇! 個爪呀!! 😍 😍」】三眼仔最鐘意係咩呢？一定係個爪啦😍 😍！是不是很可愛~~💗-三眼仔化妝袋寬約18cm$55Whatsapp: 55109214少量現貨，售完即止-#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業禮物 #畢業 #s2s袋,三眼仔化妝袋寬約18cm,55,https://scontent.fhkg1-1.fna.fbcdn.net/v/t1.6435-9/96513411_3008583802590570_771108317970825216_n.jpg?stp=dst-jpg_p720x720&_nc_cat=108&ccb=1-7&_nc_sid=9267fe&_nc_ohc=l_Qln5L0GekAX_ctlaf&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfDeEPlwhkk-ndZkpelOtlnTk_TSjRVsIGiH_yD8G_peIA&oe=64CC92EF
355915284524115_2663350213780599,小編的書房也放了1對～晚上化身係深夜食堂😺😺😺😺歡迎光臨🐈🐈🐈-裝飾燈籠小燈款式： 居酒屋/營業中33x18cm$57Whatsapp： 55109214-#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #S2S燈,裝飾燈籠小燈款式： 居酒屋/營業中33x18cm,57,https://scontent.fhkg1-1.fna.fbcdn.net/v/t1.6435-9/78539530_2663350220447265_5873501445252186112_n.jpg?stp=dst-jpg_p720x720&_nc_cat=103&ccb=1-7&_nc_sid=9267fe&_nc_ohc=TK7meFkSad8AX9EUvRv&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfD0Pvzgx5lMUnuIi1y1SLuVUkViOBEEspdSPNLGCkQ6sA&oe=64CCA872
355915284524115_2095209680594658,"*現貨特價*。都係果句做人如果無夢想，同條鹹魚有咩分別呀？你個FD成件鹹魚咁, 買D買番條同鄉比佢啦好悶架-小介紹♉內格有內臟結構外拉鏈設計0商品資訊♉尺寸：20-25cm共1款-鹹魚筆袋(怕腥慎買)$60$100兩條-whatsapp:55109214#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業禮物 #畢業",小介紹♉內格有內臟結構外拉鏈設計0商品資訊♉尺寸：20-25cm共1款-鹹魚筆袋(怕腥慎買),60,https://scontent.fhkg1-1.fna.fbcdn.net/v/t1.6435-9/50257578_2095209687261324_1675995388219228160_n.jpg?stp=dst-jpg_p720x720&_nc_cat=107&ccb=1-7&_nc_sid=9267fe&_nc_ohc=hSB9lkRSOt8AX8CpMZ1&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfCiTOSCHMUlvFX8PrjTG4W_t22pq9ldYq-DEPOD_-SRiQ&oe=64CC8FE9
355915284524115_2236106316504993,奇葩商品又一波！日本一位鏟屎官最近分享了自己穿著“超擬真貓襪”的照片，好像有點太真了，還以為是隻人型巨貓！這款貓襪也還有其他動物的造型，包括狗狗、老虎、豬、大象等等都有相應的款式。不知你們需要一對嗎？PS: 本身有象腿的女生朋友不妨可以多送他一對大象款-動物擬真襪以上款式兒童Size: 一對$60 2對$100成人Size: 一對$65 2對$110whatsapp:55109214#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業禮物 #畢業,動物擬真襪以上款式兒童Size: 一對,60,https://scontent.fhkg1-1.fna.fbcdn.net/v/t1.6435-9/57703300_2236106319838326_8463141466590412800_n.jpg?stp=dst-jpg_p720x720&_nc_cat=104&ccb=1-7&_nc_sid=9267fe&_nc_ohc=NkQSaacdJDgAX_yGshy&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfDR05AkLFtwMTRqACbk0B_y1rIXoZnrGR8ty5L-iBEziQ&oe=64CCA720
355915284524115_3552988918150053,我們的喵星人這個可愛的的貓貓陶瓷碟每天都更愛吃飯❤️-日系貓臉零食陶瓷碟$60一隻 （$160一套3隻）尺寸: 12.5 x 11cm花貓 灰貓 啡貓whatsapp:55109214**手工製品，會有少許瑕疵屬正常**-#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業禮物 #畢業 #s2s碟 #s2s家品,日系貓臉零食陶瓷碟,60,https://scontent.fhkg1-1.fna.fbcdn.net/v/t1.6435-9/126857466_3552988868150058_7018314371450790252_n.jpg?stp=dst-jpg_p720x720&_nc_cat=110&ccb=1-7&_nc_sid=a26aad&_nc_ohc=_C3I1eaSMpUAX_vXYss&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfBw_maqjtHYFwvebiDDc3_RsoNpJaOEZkSJ9b6vG0q0GQ&oe=64CCA3C4
355915284524115_4382141485234788,小知識～天線寶寶是巨型寶寶，因為他們都是真人大小。 算上天線的長度，紅色的Po有182cm（Po的中文譯名是小波，明明是大波嘛😂😂），黃色的Laa-Laa（拉拉）有大約245cm，綠色的Dipsy（迪西）大約259cm；紫色的Tinky Winky（丁丁）有304cm。你喜歡他們嗎？-天線得得B造型頭巾-$60 / 一個$160 / 一套-Whatsapp: 55109214#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業禮物 #S2S頭巾,Laa（拉拉）有大約245cm，綠色的Dipsy（迪西）大約259cm；紫色的Tinky Winky（丁丁）有304cm。你喜歡他們嗎？-天線得得B造型頭巾-,60,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/241312267_4382141441901459_3151527027095477359_n.jpg?stp=dst-jpg_p720x720&_nc_cat=105&ccb=1-7&_nc_sid=a26aad&_nc_ohc=eqtJdJt9mK4AX_ktPNv&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfB8KLiCS3s5g5u709B5cHZP-rGicFsR7aVs9tUBElct9g&oe=64AA5271
355915284524115_5482024641913128,可愛到吃手手的北極熊誰來救救佢？？-尺寸約35cm*19cm雙層設計，柔軟吸水好有掛繩，輕鬆放置$60/1$100/2WhatsApp:55109214- - #hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業禮物 #畢業 #s2s毛巾,尺寸約35cm*19cm雙層設計，柔軟吸水好有掛繩，輕鬆放置,60,https://scontent.fhkg1-1.fna.fbcdn.net/v/t39.30808-6/305281541_5482024571913135_2514464194660999501_n.jpg?stp=dst-jpg_p720x720&_nc_cat=108&ccb=1-7&_nc_sid=a26aad&_nc_ohc=xLvBiQ2IhgcAX_eiiI2&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfC3ojRVVa1tge4jA6A9FNCAeagHFdAkCuioCDZNwKDTwA&oe=64AA0B36
355915284524115_2272645716184386,可愛小企鵝掛件毛鬙鬙勁可愛想要嗎？-正能量企鵝 コウペンちゃん 掛件款式：藍色Bowtie/粉紅Bowtie/普通款尺寸：9cm$65一個  $180一套三隻whatsapp : 55109214-#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業禮物 #畢業,正能量企鵝 コウペンちゃん 掛件款式：藍色Bowtie/粉紅Bowtie/普通款尺寸：9cm,65,https://scontent.fhkg1-1.fna.fbcdn.net/v/t1.6435-9/60346677_2272645722851052_5966960500548829184_n.jpg?stp=dst-jpg_p720x720&_nc_cat=107&ccb=1-7&_nc_sid=9267fe&_nc_ohc=4JCEXhoL0mMAX_8rNgt&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfAC93SWjSxcP2IpV5ysNBaUlBv6XswBps5maKIWzOGU3Q&oe=64CC8B47
355915284524115_2487575488024740,可愛既另一個層面係可以去到好深....................入深入到你需要用心去「發現」先感覺得到8款唔同動物既可愛到深層底底增進友誼之物，估得中今日著咩動物獎你知道一個心深層既秘密🙃.動物小內褲質料: 棉質面料尺寸: 彈性均碼$65 / 一條$110 / 兩條$420 / 一套8條Whatsapp 55109214#hkigshop #igshop #文青 #搞怪 #搞鬼 #搞笑 #創意 #生日禮物 #生日 #禮物 #拍拖 #情侶 #週年 #月亮燈 #驚喜 #手工 #手作 #食人花 #訂造 #手機殼 #hkiphonecase #皮革 #pnd旺角 #ig禮物 #畢業禮物 #畢業,可愛既另一個層面係可以去到好深....................入深入到你需要用心去「發現」先感覺得到8款唔同動物既可愛到深層底底增進友誼之物，估得中今日著咩動物獎你知道一個心深層既秘密🙃.動物小內褲質料: 棉質面料尺寸: 彈性均碼$65 / 一條$110 / 兩條,65,https://scontent.fhkg1-1.fna.fbcdn.net/v/t1.6435-9/69837258_2487575491358073_5734271687986249728_n.jpg?stp=dst-jpg_p720x720&_nc_cat=107&ccb=1-7&_nc_sid=9267fe&_nc_ohc=QuPeW2Z-BjUAX8zzztJ&_nc_ht=scontent.fhkg1-1.fna&edm=APCh5TUEAAAA&oh=00_AfA_iNNwLzLlfgeiY5Z5hLO-hrgR-w6zXZSdexTdA9szyg&oe=64CC84D8
